scenario,run,strategy,time,bytes,rows,ids_sent_bytes,rows_returned_bytes
0.5,2,ship_whole_table,4.579460800000106,8711433,50000,,
0.5,2,semi_join,4.341984899999716,4386792,50000,58909.0,4327883.0
0.5,3,ship_whole_table,4.414677499999925,8711433,50000,,
0.5,3,semi_join,4.377992600000198,4386792,50000,58909.0,4327883.0
0.5,4,ship_whole_table,4.413243500000135,8711433,50000,,
0.5,4,semi_join,4.34648819999984,4386792,50000,58909.0,4327883.0
0.5,5,ship_whole_table,5.001537300000109,8711433,50000,,
0.5,5,semi_join,4.663870100000167,4386792,50000,58909.0,4327883.0
0.5,6,ship_whole_table,4.955247399999735,8711433,50000,,
0.5,6,semi_join,4.697019799999907,4386792,50000,58909.0,4327883.0
0.5,7,ship_whole_table,4.986773399999947,8711433,50000,,
0.5,7,semi_join,4.675535299999865,4386792,50000,58909.0,4327883.0
0.5,8,ship_whole_table,4.972760699999981,8711433,50000,,
0.5,8,semi_join,4.629563200000121,4386792,50000,58909.0,4327883.0
0.5,9,ship_whole_table,4.948252200000297,8711433,50000,,
0.5,9,semi_join,4.655642700000044,4386792,50000,58909.0,4327883.0
0.5,10,ship_whole_table,4.99783189999971,8711433,50000,,
0.5,10,semi_join,4.650831699999799,4386792,50000,58909.0,4327883.0
0.75,1,ship_whole_table,4.9938482000002296,8683262,75000,,
0.75,1,semi_join,4.848343199999817,6550367,75000,58909.0,6491458.0
0.75,2,ship_whole_table,4.958015700000033,8683262,75000,,
0.75,2,semi_join,4.924118100000214,6550367,75000,58909.0,6491458.0
0.75,3,ship_whole_table,4.998220500000116,8683262,75000,,
0.75,3,semi_join,4.814786399999775,6550367,75000,58909.0,6491458.0
0.75,4,ship_whole_table,4.9667906999998195,8683262,75000,,
0.75,4,semi_join,4.79368680000016,6550367,75000,58909.0,6491458.0
0.75,5,ship_whole_table,4.949900399999933,8683262,75000,,
0.75,5,semi_join,4.881558900000073,6550367,75000,58909.0,6491458.0
0.75,6,ship_whole_table,4.935203300000012,8683262,75000,,
0.75,6,semi_join,4.806982799999787,6550367,75000,58909.0,6491458.0
0.75,7,ship_whole_table,4.895132499999818,8683262,75000,,
0.75,7,semi_join,4.818059400000038,6550367,75000,58909.0,6491458.0
0.75,8,ship_whole_table,4.905177799999819,8683262,75000,,
0.75,8,semi_join,4.828253900000163,6550367,75000,58909.0,6491458.0
0.75,9,ship_whole_table,4.883298599999762,8683262,75000,,
0.75,9,semi_join,4.897450899999967,6550367,75000,58909.0,6491458.0
0.75,10,ship_whole_table,4.903084000000035,8683262,75000,,
0.75,10,semi_join,4.944933900000251,6550367,75000,58909.0,6491458.0
1.0,1,ship_whole_table,4.9963534000003165,8655710,100000,,
1.0,1,semi_join,4.946528499999658,8714619,100000,58909.0,8655710.0
1.0,2,ship_whole_table,4.913830699999835,8655710,100000,,
1.0,2,semi_join,4.930093399999805,8714619,100000,58909.0,8655710.0
1.0,3,ship_whole_table,4.87862559999985,8655710,100000,,
1.0,3,semi_join,4.966387899999972,8714619,100000,58909.0,8655710.0
1.0,4,ship_whole_table,4.936892700000044,8655710,100000,,
1.0,4,semi_join,4.986710499999845,8714619,100000,58909.0,8655710.0
1.0,5,ship_whole_table,4.872489399999722,8655710,100000,,
1.0,5,semi_join,4.944648000000143,8714619,100000,58909.0,8655710.0
1.0,6,ship_whole_table,4.970139900000049,8655710,100000,,
1.0,6,semi_join,4.9434472999996615,8714619,100000,58909.0,8655710.0
1.0,7,ship_whole_table,4.910675300000094,8655710,100000,,
1.0,7,semi_join,4.992333099999996,8714619,100000,58909.0,8655710.0
1.0,8,ship_whole_table,4.931646499999715,8655710,100000,,
1.0,8,semi_join,5.056810900000073,8714619,100000,58909.0,8655710.0
1.0,9,ship_whole_table,4.89309460000004,8655710,100000,,
1.0,9,semi_join,4.977780400000029,8714619,100000,58909.0,8655710.0
1.0,10,ship_whole_table,4.9758812000000034,8655710,100000,,
1.0,10,semi_join,5.002019800000198,8714619,100000,58909.0,8655710.0
